FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
LEGUMINOSAS;Anconi;20;0;0;N/A;0;enero-marzo;2019
HORTALIZAS;Ajo;1870;0;0;N/A;0;enero-marzo;2019
HORTALIZAS;Rábano;2;0;0;N/A;0;enero-marzo;2019
FRUTALES;Cajuil;30;0;0;N/A;0;enero-marzo;2019
HORTALIZAS;Lechuga;426;334;24160;HUACAL;10479656;enero-marzo;2019
HORTALIZAS;Lechuga Repollada;304;2441;15716;HUACAL;15866850;enero-marzo;2019
MUSACEAS;Plátano;9391;61970;95110;MILLAR;688351652;enero-marzo;2019
OLEAGINOSAS;Coco;104;26263;17341;MILLAR;198640400;enero-marzo;2019
FRUTALES;Aguacate;4067;5353;2940;MILLAR;24033970;enero-marzo;2019
FRUTALES;Chinola;1016;16017;27194;MILLAR;86486240;enero-marzo;2019
FRUTALES;Mango;60;89;77;MILLAR;322524;enero-marzo;2019
FRUTALES;Piña;1236;2808;94432;MILLAR;69977140;enero-marzo;2019
FRUTALES;Zapote;20;258;146;MILLAR;544000;enero-marzo;2019
CITRICOS;Limón Criollo;232;2035;14835;MILLAR;37910100;enero-marzo;2019
CITRICOS;Limón Persa;771;16245;45394;MILLAR;124233200;enero-marzo;2019
CITRICOS;Mandarina;63;2505;2561;MILLAR;13138500;enero-marzo;2019
CITRICOS;Naranja Agria;116;1929;7718;MILLAR;15810740;enero-marzo;2019
CITRICOS;Naranja Dulce;5;1307;1151;MILLAR;3152800;enero-marzo;2019
CITRICOS;Toronja;5;310;574;MILLAR;1685400;enero-marzo;2019
OTROS;Pastos;939;5530;80459;PACAS;5625937;enero-marzo;2019
HORTALIZAS;Berro;42;20;4430;PAQUETE;73140;enero-marzo;2019
HORTALIZAS;Cilantro (Paquete);387;201;112690;PAQUETE;1841420;enero-marzo;2019
HORTALIZAS;Cilantro Ancho;76;359;143480;PAQUETE;1706200;enero-marzo;2019
HORTALIZAS;Espinaca;69;181;26142;PAQUETE;439830;enero-marzo;2019
HORTALIZAS;Puerro;75;94;33411;PAQUETE;545032;enero-marzo;2019
CEREALES;Arroz Cáscara;405737;56979;399471;QUINTAL;451482467;enero-marzo;2019
CEREALES;Maíz;12858;13969;28291;QUINTAL;28564955;enero-marzo;2019
LEGUMINOSAS;Guandul;4430;25302;35490;QUINTAL;53218620;enero-marzo;2019
LEGUMINOSAS;Habas;0;40;86;QUINTAL;136200;enero-marzo;2019
LEGUMINOSAS;Habichuela Blanca;470;586;573;QUINTAL;1719000;enero-marzo;2019
LEGUMINOSAS;Habichuela Negra;1742;10466;11915;QUINTAL;34115825;enero-marzo;2019
LEGUMINOSAS;Habichuela Roja;1310;32029;56172;QUINTAL;195742895;enero-marzo;2019
RAICES Y TUBERCULOS;Batata;4311;4863;41014;QUINTAL;28394260;enero-marzo;2019
RAICES Y TUBERCULOS;Mapuey;103;115;465;QUINTAL;877000;enero-marzo;2019
RAICES Y TUBERCULOS;Ñame Blanco;1788;4943;42696;QUINTAL;53152350;enero-marzo;2019
RAICES Y TUBERCULOS;Papa;2186;3362;91852;QUINTAL;124088000;enero-marzo;2019
RAICES Y TUBERCULOS;Yautía Amarilla;364;619;5513;QUINTAL;7776267;enero-marzo;2019
RAICES Y TUBERCULOS;Yautía Blanca;2409;2711;20391;QUINTAL;38459696;enero-marzo;2019
RAICES Y TUBERCULOS;Yautía Coco;2;33;99;QUINTAL;337666;enero-marzo;2019
RAICES Y TUBERCULOS;Yuca;8940;13192;109223;QUINTAL;90669750;enero-marzo;2019
HORTALIZAS;Ají;65;135;2293;QUINTAL;2718100;enero-marzo;2019
HORTALIZAS;Ají  Cubanela;928;3888;25550;QUINTAL;24886934;enero-marzo;2019
HORTALIZAS;Ají Gustoso;71;808;2626;QUINTAL;3745800;enero-marzo;2019
HORTALIZAS;Ají Morrón;20;1016;9462;QUINTAL;23868000;enero-marzo;2019
HORTALIZAS;Ají Picante;466;1400;7608;QUINTAL;15250400;enero-marzo;2019
HORTALIZAS;Apio;314;388;15420;QUINTAL;16712000;enero-marzo;2019
HORTALIZAS;Auyama;4380;5819;54475;QUINTAL;38695125;enero-marzo;2019
HORTALIZAS;Bangaña;0;88;461;QUINTAL;458100;enero-marzo;2019
HORTALIZAS;Berenjena;484;1531;10384;QUINTAL;8712948;enero-marzo;2019
HORTALIZAS;Brócoli;392;377;5958;QUINTAL;9915200;enero-marzo;2019
HORTALIZAS;Cebolla;1966;4459;59660;QUINTAL;155176500;enero-marzo;2019
HORTALIZAS;Cilantro (Semilla);103;617;5445;QUINTAL;9649300;enero-marzo;2019
HORTALIZAS;Coliflor;345;339;5418;QUINTAL;10791750;enero-marzo;2019
HORTALIZAS;Cundeamor;9;48;238;QUINTAL;203500;enero-marzo;2019
HORTALIZAS;Molondrón;1135;3222;11268;QUINTAL;8481550;enero-marzo;2019
HORTALIZAS;Pepino;294;480;453326;QUINTAL;11590800;enero-marzo;2019
HORTALIZAS;Rábano Cepa;12;42;640;QUINTAL;880000;enero-marzo;2019
HORTALIZAS;Remolacha;338;327;10893;QUINTAL;15768383;enero-marzo;2019
HORTALIZAS;Repollo;679;541;52000;QUINTAL;1032500;enero-marzo;2019
HORTALIZAS;Tayota;60;2325;13448;QUINTAL;13482600;enero-marzo;2019
HORTALIZAS;Tomate Ensalada;270;615;4165;QUINTAL;3252250;enero-marzo;2019
HORTALIZAS;Tomate Industrial;10282;1648;26702;QUINTAL;15624710;enero-marzo;2019
HORTALIZAS;Zanahoria;1450;1328;42066;QUINTAL;38044000;enero-marzo;2019
HORTALIZAS;Zuchini;55;30;300;QUINTAL;282000;enero-marzo;2019
HORTALIZAS;Vainita;111;346;936;QUINTAL;1190100;enero-marzo;2019
OLEAGINOSAS;Maní;2081;1382;2100;QUINTAL;5078150;enero-marzo;2019
AGROINDUSTRIALES;Cacao;1357;55941;20432;QUINTAL;2108607700;enero-marzo;2019
AGROINDUSTRIALES;Café;1500;17881;12760;QUINTAL;82302200;enero-marzo;2019
AGROINDUSTRIALES;Café Orgánico;10;15;2;QUINTAL;18000;enero-marzo;2019
AGROINDUSTRIALES;Tabaco;3628;1268;2624;QUINTAL;18947000;enero-marzo;2019
FRUTALES;Cereza;56;2985;6967;QUINTAL;14732014;enero-marzo;2019
FRUTALES;Fresa;0;165;3630;QUINTAL;14181200;enero-marzo;2019
FRUTALES;Granadillo;0;84;7103;QUINTAL;484210;enero-marzo;2019
FRUTALES;Guanábana;4;30;240;QUINTAL;48000;enero-marzo;2019
FRUTALES;Guayaba;140;95;58;QUINTAL;80000;enero-marzo;2019
FRUTALES;Macadamia;90;272;189;QUINTAL;578700;enero-marzo;2019
FRUTALES;Melón;336;142;92;QUINTAL;2047000;enero-marzo;2019
FRUTALES;Níspero;0;5;20;QUINTAL;0;enero-marzo;2019
FRUTALES;Pitahaya;19;256;71;QUINTAL;174694;enero-marzo;2019
FRUTALES;Tindora;50;502;3166;QUINTAL;4246300;enero-marzo;2019
OTROS;Jengibre;72;293;2075;QUINTAL;8806000;enero-marzo;2019
OTROS;Orégano;164;1287;2397;QUINTAL;15603400;enero-marzo;2019
OTROS;Pimienta;0;886;4517;QUINTAL;98044000;enero-marzo;2019
OTROS;Muzú;0;60;500;QUINTAL;425200;enero-marzo;2019
MUSACEAS;Guineo Convencional;1059;29788;1686721;RACIMO;225571740;enero-marzo;2019
MUSACEAS;Guineo Organico;144;11394;1022501;RACIMO;154207331;enero-marzo;2019
MUSACEAS;Rulo;25;731;15329;RACIMO;2288635;enero-marzo;2019
AGROINDUSTRIALES;Caña Azúcar;0;2490;10117;TONELADA;15668000;enero-marzo;2019
FRUTALES;Caña Negra;45;446;319769;UNIDAD;453774250;enero-marzo;2019
FRUTALES;Lechosa;962;12204;1757708;UNIDAD;132323281;enero-marzo;2019
FRUTALES;Sandía;479;246;43266;UNIDAD;1888425;enero-marzo;2019
FORESTALES;Acacia;30;2883;33263;VARA;4473075;enero-marzo;2019
FORESTALES;Bambú;0;30;120;VARA;96000;enero-marzo;2019
FORESTALES;Eucalipto;0;100;2241;VARA;238600;enero-marzo;2019
FORESTALES;Pino;500;616;12081;VARA;6337770;enero-marzo;2019
CEREALES;Sorgo;30;0;0;N/A;0;abril-junio;2019
LEGUMINOSAS;Anconi;0;0;0;N/A;0;abril-junio;2019
HORTALIZAS;Bangaña;15;0;0;N/A;0;abril-junio;2019
HORTALIZAS;Dipten;10;0;0;N/A;0;abril-junio;2019
FRUTALES;Guanábana;0;0;0;N/A;0;abril-junio;2019
FRUTALES;Bija;18;0;0;N/A;0;abril-junio;2019
HORTALIZAS;Lechuga;201;226;18138;HUACAL;5898500;abril-junio;2019
